"data_dt","org_id","org_name","up_org_id","up_org_name"
"20260531",XX00000001,包头******营业部,XX00000112,北京分公司
"20260531",XX00000002,北京******营业部,XX00000112,北京分公司
"20260531",XX00000003,北京******营业部,XX00000112,北京分公司
"20260531",XX00000004,长春******营业部,XX00000223,黑龙江分公司
"20260531",XX00000005,长沙******营业部,XX00000263,湖南分公司
"20260531",XX00000006,成都******营业部,XX00000171,四川分公司
"20260531",XX00000007,四川******营业部,XX00000171,四川分公司
"20260531",XX00000008,重庆******营业部,XX00000171,四川分公司
"20260531",XX00000009,大连******营业部,XX00000153,辽宁分公司
"20260531",XX00000010,恩施******营业部,XX00000128,湖北分公司
"20260531",XX00000011,福州******营业部,XX00000257,福建分公司
"20260531",XX00000012,广州******营业部,XX00000129,广东分公司
"20260531",XX00000013,哈尔******营业部,XX00000223,黑龙江分公司
"20260531",XX00000014,合肥******营业部,XX00000259,安徽分公司
"20260531",XX00000015,黄冈******营业部,XX00000128,湖北分公司
"20260531",XX00000016,荆州******营业部,XX00000128,湖北分公司
"20260531",XX00000017,江西******营业部,XX00000273,江西分公司
"20260531",XX00000018,南京******营业部,XX00000080,南京分公司
"20260531",XX00000019,宁波******营业部,XX00000165,浙江分公司
"20260531",XX00000020,青岛******营业部,XX00000260,山东分公司
"20260531",XX00000021,上海******营业部,XX00000105,上海分公司
"20260531",XX00000022,上海******营业部,XX00000105,上海分公司
"20260531",XX00000023,上海******营业部,XX00000105,上海分公司
"20260531",XX00000024,上海******营业部,XX00000105,上海分公司
"20260531",XX00000025,石家******营业部,XX00000112,北京分公司
"20260531",XX00000026,天津******营业部,XX00000115,天津分公司
"20260531",XX00000027,天津******营业部,XX00000115,天津分公司
"20260531",XX00000028,梧州******营业部,XX00000129,广东分公司
"20260531",XX00000029,武汉******营业部,XX00000128,湖北分公司
"20260531",XX00000030,武汉******营业部,XX00000128,湖北分公司
"20260531",XX00000031,武汉******营业部,XX00000128,湖北分公司
"20260531",XX00000032,西安******营业部,XX00000274,西北分公司
"20260531",XX00000033,孝感******营业部,XX00000128,湖北分公司
"20260531",XX00000034,宜昌******营业部,XX00000128,湖北分公司
"20260531",XX00000035,银川******营业部,XX00000274,西北分公司
"20260531",XX00000036,营口******营业部,XX00000153,辽宁分公司
"20260531",XX00000037,岳阳******营业部,XX00000263,湖南分公司
"20260531",XX00000038,郑州******营业部,XX00000256,河南分公司
"20260531",XX00000039,郑州******营业部,XX00000256,河南分公司
"20260531",XX00000040,杭州******营业部,XX00000165,浙江分公司
"20260531",XX00000041,溧阳******营业部,XX00000253,常州分公司
"20260531",XX00000042,南宁******营业部,XX00000129,广东分公司
"20260531",XX00000043,昆山******营业部,XX00000090,苏州分公司
"20260531",XX00000044,济南******营业部,XX00000260,山东分公司
"20260531",XX00000045,南京******营业部,XX00000080,南京分公司
"20260531",XX00000046,南京******营业部,XX00000080,南京分公司
"20260531",XX00000047,南京******营业部,XX00000080,南京分公司
"20260531",XX00000048,南京******营业部,XX00000080,南京分公司
"20260531",XX00000049,南京******营业部,XX00000080,南京分公司
"20260531",XX00000050,南京******营业部,XX00000080,南京分公司
"20260531",XX00000051,南京******营业部,XX00000080,南京分公司
"20260531",XX00000052,南京******营业部,XX00000080,南京分公司
"20260531",XX00000053,苏州******营业部,XX00000090,苏州分公司
"20260531",XX00000054,张家******营业部,XX00000090,苏州分公司
"20260531",XX00000055,无锡******营业部,XX00000255,无锡分公司
"20260531",XX00000056,无锡******营业部,XX00000255,无锡分公司
"20260531",XX00000057,江阴******营业部,XX00000255,无锡分公司
"20260531",XX00000058,常州******营业部,XX00000253,常州分公司
"20260531",XX00000059,镇江******营业部,XX00000253,常州分公司
"20260531",XX00000060,扬州******营业部,XX00000258,扬州分公司
"20260531",XX00000061,泰州******营业部,XX00000262,泰州分公司
"20260531",XX00000062,南通******营业部,XX00000098,南通分公司
"20260531",XX00000063,南通******营业部,XX00000098,南通分公司
"20260531",XX00000064,南通******营业部,XX00000098,南通分公司
"20260531",XX00000065,淮安******营业部,XX00000261,盐城分公司
"20260531",XX00000066,盐城******营业部,XX00000261,盐城分公司
"20260531",XX00000067,徐州******营业部,XX00000254,徐州分公司
"20260531",XX00000068,深圳******营业部,XX00000242,深圳分公司
"20260531",XX00000069,武汉******营业部,XX00000128,湖北分公司
"20260531",XX00000070,天津******营业部,XX00000115,天津分公司
"20260531",XX00000071,沈阳******营业部,XX00000153,辽宁分公司
"20260531",XX00000072,北京******营业部,XX00000112,北京分公司
"20260531",XX00000073,广州******营业部,XX00000129,广东分公司
"20260531",XX00000074,绍兴******营业部,XX00000165,浙江分公司
"20260531",XX00000075,泉州******营业部,XX00000257,福建分公司
"20260531",XX00000076,上海******营业部,XX00000105,上海分公司
"20260531",XX00000077,上海******营业部,XX00000105,上海分公司
"20260531",XX00000078,当阳******营业部,XX00000128,湖北分公司
"20260531",XX00000079,宿迁******营业部,XX00000254,徐州分公司
"20260531",XX00000080,南京分公司,XX000001,财富管理部
"20260531",XX00000081,南京******营业部,XX00000080,南京分公司
"20260531",XX00000082,南京******营业部,XX00000080,南京分公司
"20260531",XX00000083,南京******营业部,XX00000080,南京分公司
"20260531",XX00000084,南京******营业部,XX00000080,南京分公司
"20260531",XX00000085,南京******营业部,XX00000080,南京分公司
"20260531",XX00000086,溧水******营业部,XX00000080,南京分公司
"20260531",XX00000087,西安******营业部,XX00000274,西北分公司
"20260531",XX00000088,太原******营业部,XX00000256,河南分公司
"20260531",XX00000089,岳阳******营业部,XX00000263,湖南分公司
"20260531",XX00000090,苏州分公司,XX000001,财富管理部
"20260531",XX00000091,吴江******营业部,XX00000090,苏州分公司
"20260531",XX00000092,苏州******营业部,XX00000090,苏州分公司
"20260531",XX00000094,无锡******营业部,XX00000255,无锡分公司
"20260531",XX00000096,金坛******营业部,XX00000253,常州分公司
"20260531",XX00000098,南通分公司,XX000001,财富管理部
"20260531",XX00000099,南通******营业部,XX00000098,南通分公司
"20260531",XX00000100,海门******营业部,XX00000098,南通分公司
"20260531",XX00000101,南通******营业部,XX00000098,南通分公司
"20260531",XX00000102,启东******营业部,XX00000098,南通分公司
"20260531",XX00000103,南通******营业部,XX00000098,南通分公司
"20260531",XX00000104,如皋******营业部,XX00000098,南通分公司
"20260531",XX00000105,上海分公司,XX000001,财富管理部
"20260531",XX00000106,上海******营业部,XX00000105,上海分公司
"20260531",XX00000107,上海******营业部,XX00000105,上海分公司
"20260531",XX00000108,上海******营业部,XX00000105,上海分公司
"20260531",XX00000109,上海******营业部,XX00000105,上海分公司
"20260531",XX00000110,上海******营业部,XX00000105,上海分公司
"20260531",XX00000111,上海******营业部,XX00000105,上海分公司
"20260531",XX00000112,北京分公司,XX000001,财富管理部
"20260531",XX00000113,北京******营业部,XX00000112,北京分公司
"20260531",XX00000114,北京******营业部,XX00000112,北京分公司
"20260531",XX00000115,天津分公司,XX000001,财富管理部
"20260531",XX00000116,天津******营业部,XX00000115,天津分公司
"20260531",XX00000118,深圳******营业部,XX00000242,深圳分公司
"20260531",XX00000119,深圳******营业部,XX00000242,深圳分公司
"20260531",XX00000120,深圳******营业部,XX00000242,深圳分公司
"20260531",XX00000121,深圳******营业部,XX00000242,深圳分公司
"20260531",XX00000122,深圳******营业部,XX00000242,深圳分公司
"20260531",XX00000123,深圳******营业部,XX00000242,深圳分公司
"20260531",XX00000124,深圳******营业部,XX00000242,深圳分公司
"20260531",XX00000125,深圳******营业部,XX00000242,深圳分公司
"20260531",XX00000126,深圳******营业部,XX00000242,深圳分公司
"20260531",XX00000127,深圳******营业部,XX00000242,深圳分公司
"20260531",XX00000128,湖北分公司,XX000001,财富管理部
"20260531",XX00000129,广东分公司,XX000001,财富管理部
"20260531",XX00000130,广州******营业部,XX00000129,广东分公司
"20260531",XX00000131,广州******营业部,XX00000129,广东分公司
"20260531",XX00000132,广州******营业部,XX00000129,广东分公司
"20260531",XX00000133,广州******营业部,XX00000129,广东分公司
"20260531",XX00000134,广州******营业部,XX00000129,广东分公司
"20260531",XX00000137,张家******营业部,XX00000090,苏州分公司
