"code","code_type_id","describe"
"3000008","300",境外身份证
"3000052","300",基金会
"7000002","700",个体工商户（含淘宝店自营等）
"4000005","400",保守型
"3000030","300",港澳台居民居住证
"3000032","300",文职证
"3000053","300",LEI(全球法人机构识别编码)
"7000025","700",农、林、牧、渔业生产及辅助人员
"3000042","300",武警
"7000041","700",自由职业者
"3000003","300",解放军士兵证
"7000031","700",公职 离/退休
"3000013","300",武警军官退休证
"3000048","300",行政机关
"1000001","100",紫金理财钻石卡客户
"5000005","500",其他
"7000008","700",法律、会计、审计、税务专业人员
"7000017","700",生产制造及有关人员
"7000026","700",学生
"7000036","700",银行业机构专业人员及服务人员
"7000038","700",期货业机构专业人员及服务人员
"3000034","300",营业执照
"6000009","600",其他
"7000007","700",文化、体育和娱乐服务人员
"7000058","700",其他专业技术人员
"2000001","200",正常
"7000009","700",党政机关负责人及管理人员
"1000002","100",紫金理财白金卡客户
"3000004","300",军官证
"3000005","300",解放军文职干部证
"3000019","300",学生证
"7000004","700",文教科卫专业人员
"7000006","700",科学研究及教学人员
"7000028","700",证券机构高级管理人员
"7000032","700",非公职 离/退休
"3000038","300",非法人社团
"7000001","700",军人
"7000011","700",国有企业干部（金融业除外）
"7000021","700",交通运输、仓储、邮政业服务人员
"7000037","700",保险业机构专业人员及服务人员
"7000046","700",人民警察、消防、应急救援人员
"3000039","300",社会团体
"6000003","600",硕士
"7000047","700",珠宝、黄金等贵金属行业服务人员
"2000006","200",首次接触
"2000011","200",其他
"3000010","300",武警士兵证
"3000018","300",护照
"3000027","300",澳门居民身份证
"5000002","500",男
"7000013","700",事业单位干部（金融业除外）
"7000020","700",批发与零售服务人员
"6000004","600",学士
"7000005","700",卫生专业技术人员
"1000004","100",紫金理财银卡客户
"7000059","700",其他
"3000001","300",身份证
"3000016","300",外国护照
"3000045","300",企业税务登记证号
"7000019","700",房地产服务人员
"7000048","700",典当、拍卖行业服务人员
"7000050","700",废品、旧货回收服务人员
"3000026","300",香港居民身份证
"3000035","300",全国组织机构代码
"3000014","300",武警文职干部退休证
"3000025","300",批文
"7000043","700",文学艺术、体育专业人员
"4000004","400",谨慎型
"3000012","300",武警文职干部证
"3000023","300",社会保障号
"4000007","400",未知
"3000022","300",未成年人ID
"7000052","700",社会组织相关人员
"7000057","700",国际组织工作人员
"2000002","200",冻结
"3000011","300",警官证
"3000017","300",本国护照
"3000020","300",港澳居民来往内地通行证
"3000029","300",临时身份证
"7000053","700",民主党派和工商联负责人及管理人员
"1000003","100",紫金理财金卡客户
"2000004","200",销户
"2000008","200",紧密
"2000010","200",回访失败
"3000033","300",其它
"3000054","300",其它证件（公司）
"6000007","600",高中
"7000018","700",工程、农业专业人员
"7000024","700",媒体/公关/商业咨询/顾问服务人员
"7000033","700",商业、地产等服务业从业人员
"7000039","700",基金业机构专业人员及服务人员
"3000028","300",港澳台居民身份证
"3000036","300",登记证书
"3000047","300",企业股票代码
"7000016","700",事业单位办事人员和相关人员（金融业除外）
"7000049","700",艺术品或文物收藏行业服务人员
"3000015","300",户口本
"3000007","300",文职干部退休证
"3000056","300",商业登记证
"2000005","200",休眠已确认
"4000002","400",积极型
"3000021","300",台湾居民来往大陆通行证
"3000049","300",批文
"7000022","700",信息运输、软件和信息技术服务人员
"3000043","300",特种经营许可证
"5000001","500",未知
"7000044","700",宗教人士等特殊职业人员
"7000054","700",人民团体或群众团体负责人及管理人员
"7000055","700",社会组织（社会团体、基金会、社会服务机构、外国商会等）负责人及管理人员
"3000024","300",外国人永久居留证
"3000041","300",军队
"7000034","700",其他金融机构从业人员（除证券业外）
"7000045","700",居民、健康服务人员
"2000003","200",挂失
"2000007","200",持续跟踪
"7000003","700",无业
"7000010","700",企/事业单位干部（金融业除外）
"7000030","700",离/退休
"1000006","100",空
"3000037","300",法人社团
"3000051","300",下属机构
"6000001","600",未知学历
"7000014","700",企/事业/行政单位办事人员和相关人员（金融业除外）
"7000029","700",证券机构专业人员及服务人员
"7000042","700",新闻出版、文化专业人员
"3000040","300",海外客户编号
"7000027","700",证券从业人员
"7000035","700",其他金融机构高级管理人员
"3000031","300",士兵证
"3000050","300",统一社会信用代码
"6000002","600",博士
"4000006","400",保守型(最低类别)
"1000005","100",紫金理财卡客户
"5000003","500",女
"5000004","500",非自然人
"3000006","300",军官退休证
"3000046","300",技术监督局代码
"3000055","300",资管产品备案函
"3000058","300",回乡证
"7000015","700",行政单位办事人员和相关人员（金融业除外）
"7000023","700",旅游、住宿和餐饮服务人员
"7000051","700",其他社会生产和社会服务人员
"4000003","400",稳健型
"3000009","300",武警身份证件
"2000009","200",放弃/暂缓
"3000002","300",军人身份证
"3000057","300",驾驶证
"6000006","600",中专
"7000012","700",非国有企业单位干部（金融业除外）
"7000040","700",其他金融业务人员及服务人员（除上述行业外）
"4000001","400",激进型
"3000044","300",涉外经营许可证
"6000005","600",大专
"6000008","600",初中及其以下
"7000056","700",民主党派、工商联、人民团体或社会组织等单位工作人员
