"data_dt","pty_id","nm_tot_aset","nm_bal","fc_pur_aset","fc_bal"
"20260130",C000000000000002,11626751.3600,204.9800,0.0000,0.0000
"20260130",C000000000000003,3624385.6000,100.0000,0.0000,0.0000
"20260130",C000000000000004,62782040.0000,4137934.6800,0.0000,0.0000
"20260130",C000000000000005,4235706.1000,216.0800,0.0000,0.0000
"20260130",C000000000000006,273562.4600,1.0500,0.0000,0.0000
"20260130",C000000000000007,20521984.7900,736.1200,0.0000,0.0000
"20260130",C000000000000008,105150.0300,1.1000,0.0000,0.0000
"20260130",C000000000000009,170522.0800,545.9100,0.0000,0.0000
"20260130",C000000000000010,1418530.4730,267.8100,0.0000,0.0000
"20260130",C000000000000011,228581.3500,4418.5500,0.0000,0.0000
"20260130",C000000000000012,100.0500,100.0500,0.0000,0.0000
"20260130",C000000000000013,13397.4000,141.4000,0.0000,0.0000
"20260130",C000000000000014,1.4500,1.2100,0.0000,0.0000
"20260130",C000000000000015,0.0700,0.0700,0.0000,0.0000
"20260130",C000000000000016,44419.8800,26079.8800,0.0000,0.0000
"20260130",C000000000000017,339004.0400,301.0600,0.0000,0.0000
"20260130",C000000000000018,201185.9900,1.0500,0.0000,0.0000
"20260130",C000000000000019,87663.2100,1.0500,0.0000,0.0000
"20260130",C000000000000020,1109102.8800,971.8800,0.0000,0.0000
"20260130",C000000000000021,1428158.8900,101.0400,0.0000,0.0000
"20260130",C000000000000022,5018837.5300,101.0500,0.0000,0.0000
"20260130",C000000000000023,259.9000,259.9000,23.0800,23.0800
"20260130",C000000000000024,700916.8900,7216.8900,0.0000,0.0000
"20260130",C000000000000025,9466.9100,441.9100,0.0000,0.0000
"20260130",C000000000000026,8048384.1390,189.9100,0.0000,0.0000
"20260130",C000000000000027,60.7200,60.7200,0.0000,0.0000
"20260130",C000000000000028,47561.0000,0.0000,0.0000,0.0000
"20260130",C000000000000029,196549.0700,87539.0700,0.0000,0.0000
"20260130",C000000000000030,198415.8200,1299.8200,0.0000,0.0000
"20260130",C000000000000031,225148.8900,751.6900,0.0000,0.0000
"20260130",C000000000000032,339500.8500,3075.8500,0.0000,0.0000
"20260130",C000000000000033,1058550.6900,102.8800,0.0000,0.0000
"20260130",C000000000000034,638524.1400,6920.5600,0.0000,0.0000
"20260130",C000000000000035,70306.9700,402.9200,0.0000,0.0000
"20260130",C000000000000036,2458307.6400,300.7400,0.0000,0.0000
"20260130",C000000000000037,1475923.6300,265.3100,0.0000,0.0000
"20260130",C000000000000038,30751.1100,6371.1100,0.0000,0.0000
"20260130",C000000000000039,425378.4200,424.4400,0.0000,0.0000
"20260130",C000000000000040,13159.7800,824.6800,123131.4800,15.6800
"20260130",C000000000000041,11070212.0700,101.0500,0.0000,0.0000
"20260130",C000000000000042,3981.5700,101.0500,92935.0200,1162.6200
"20260130",C000000000000043,16310355.2500,200.0000,0.0000,0.0000
"20260130",C000000000000044,460.3600,375.1200,246036.9200,2643.6200
"20260130",C000000000000045,138386.3700,2186.3700,0.0000,0.0000
"20260130",C000000000000046,99529.4800,0.0000,0.0000,0.0000
"20260130",C000000000000047,70063.3100,59129.3100,0.0000,0.0000
"20260130",C000000000000048,8711.8100,315.6000,0.0000,0.0000
"20260130",C000000000000049,1684549.7143,1422.6719,0.0000,0.0000
"20260130",C000000000000050,825398.0170,16770.4700,0.0000,0.0000
"20260130",C000000000000051,1617777.7000,101.0300,0.2400,0.2400
"20260130",C000000000000052,309631.3400,85.3400,0.0000,0.0000
"20260130",C000000000000053,98742.8800,1219.8800,0.0000,0.0000
"20260130",C000000000000054,10304.6500,2157.4500,0.0000,0.0000
"20260130",C000000000000055,5325206.2400,57990.0800,10606.3000,1096.3000
"20260130",C000000000000056,1.1600,1.1600,0.0000,0.0000
"20260130",C000000000000057,243696.1450,101.0900,0.0000,0.0000
"20260130",C000000000000059,0.5400,0.0000,0.0000,0.0000
"20260130",C000000000000060,20.5300,0.0000,0.0000,0.0000
"20260130",C000000000000061,220377.3700,13764.3700,0.0000,0.0000
"20260130",C000000000000062,568345.4900,469.3500,0.0000,0.0000
"20260130",C000000000000063,237714.0360,4297.9000,0.0000,0.0000
"20260130",C000000000000064,105789.8390,1.0600,0.0000,0.0000
"20260130",C000000000000065,24414.3800,257.3600,0.0000,0.0000
"20260130",C000000000000066,17586.5300,3074.5300,0.0000,0.0000
"20260130",C000000000000067,122114.2100,274.2100,0.0000,0.0000
"20260130",C000000000000068,3878.9600,577.9600,0.0000,0.0000
"20260130",C000000000000069,297836.5420,476.3700,0.0000,0.0000
"20260130",C000000000000070,37218.5200,1.1500,0.0000,0.0000
"20260130",C000000000000072,37495.7100,27079.7100,0.0000,0.0000
"20260130",C000000000000073,2137.8500,306.8500,0.0000,0.0000
"20260130",C000000000000074,229626.6700,646.6700,0.0000,0.0000
"20260130",C000000000000075,224073.9300,972.4500,0.0000,0.0000
"20260130",C000000000000076,0.1300,0.0000,0.0000,0.0000
"20260130",C000000000000077,160586.6200,164.8400,0.0300,0.0300
"20260130",C000000000000078,17382.4250,3126.0800,0.0000,0.0000
"20260130",C000000000000079,30420.3100,718.3100,0.0000,0.0000
"20260130",C000000000000080,45309.6000,9.6000,0.0000,0.0000
"20260130",C000000000000081,452598.1000,0.0000,0.0000,0.0000
"20260130",C000000000000082,473.8600,473.8600,48292.7900,27.7900
"20260130",C000000000000083,376910.1200,145803.6200,0.0000,0.0000
"20260130",C000000000000084,54779.2700,2351.2700,0.0000,0.0000
"20260130",C000000000000085,531349.5200,468513.5200,0.0000,0.0000
"20260130",C000000000000086,184848.4900,1.0500,0.0000,0.0000
"20260130",C000000000000087,557.6600,557.6600,2339492.1700,379516.4100
"20260130",C000000000000088,4749.8200,3861.5000,0.0000,0.0000
"20260130",C000000000000089,4399.2500,4399.2500,0.0000,0.0000
"20260130",C000000000000090,363033.6800,0.0000,0.0000,0.0000
"20260130",C000000000000091,15470.9500,138.9500,0.0000,0.0000
"20260130",C000000000000092,1181304.7900,37812.9900,0.0000,0.0000
"20260130",C000000000000094,5568379.7100,238.8000,0.0000,0.0000
"20260130",C000000000000095,385194.1800,2100.0000,0.0300,0.0300
"20260130",C000000000000096,382836.3700,5072.3700,0.0000,0.0000
"20260130",C000000000000097,1.2400,1.2400,0.0000,0.0000
"20260130",C000000000000098,206773.2700,15.3800,0.0000,0.0000
"20260130",C000000000000099,19995.7400,200.0000,9229799.7000,47183.3500
"20260130",C000000000000100,96687.2800,202.2800,0.0000,0.0000
"20260130",C000000000000101,12449.2400,12449.2400,0.0000,0.0000
"20260130",C000000000000102,5560640.3700,201.0900,0.0000,0.0000
"20260130",C000000000000103,114988.9300,59188.9300,0.0000,0.0000
"20260130",C000000000000104,331238.0550,100.0000,0.0000,0.0000
"20260130",C000000000000105,113924.3870,4851.3500,0.0000,0.0000
"20260130",C000000000000106,161.4800,100.0100,8242304.0800,4462.9800
"20260130",C000000000000107,49562.0300,128.8700,0.0000,0.0000
"20260130",C000000000000108,69143.7300,6.9700,0.0000,0.0000
"20260130",C000000000000109,198828.6560,122926.6100,0.0000,0.0000
"20260130",C000000000000110,33188406.2600,4958.1800,0.0000,0.0000
"20260130",C000000000000111,5174196.7296,1103.2000,0.0000,0.0000
"20260130",C000000000000112,2.1600,2.1600,0.0000,0.0000
"20260130",C000000000000113,543075.8305,201.0500,0.0000,0.0000
"20260130",C000000000000114,78731.8580,95.0800,0.0000,0.0000
"20260130",C000000000000115,6334303.2400,291.9400,1392182.2700,3618.1600
"20260130",C000000000000116,129598.5900,9818.5900,0.0000,0.0000
"20260130",C000000000000117,57.6300,57.6300,0.0000,0.0000
"20260130",C000000000000118,551569.0500,358689.0500,0.0000,0.0000
"20260130",C000000000000119,65483.2500,1.2500,0.0000,0.0000
"20260130",C000000000000120,99262.7500,16.4400,0.0000,0.0000
"20260130",C000000000000121,969469.6500,201.1000,0.0000,0.0000
"20260130",C000000000000122,31686.4700,3266.4700,0.0000,0.0000
"20260130",C000000000000123,201853.6000,200.0000,0.0000,0.0000
"20260130",C000000000000124,3292376.6400,500100.0000,0.0000,0.0000
"20260130",C000000000000125,208892.4870,101.1000,0.0000,0.0000
"20260130",C000000000000126,525775.7300,494.9700,0.0000,0.0000
"20260130",C000000000000127,1101697.8690,622350.9800,0.0000,0.0000
"20260130",C000000000000129,24343548.2990,10412.9600,0.0000,0.0000
"20260130",C000000000000130,410175.5810,524.7100,0.0000,0.0000
"20260130",C000000000000131,18487.6400,1830.4500,0.0000,0.0000
"20260130",C000000000000132,696651.2300,617.4100,1496615.5700,2174.7600
"20260130",C000000000000133,11855.4140,8245.6700,0.0000,0.0000
"20260130",C000000000000134,4501316.8000,101.0500,0.0000,0.0000
"20260130",C000000000000135,325962.3240,199.9900,0.0000,0.0000
"20260130",C000000000000136,2526269.8700,101.0400,0.0000,0.0000
"20260130",C000000000000137,26740.7600,41.7600,0.0000,0.0000
"20260130",C000000000000138,15479.1700,124.4900,0.0000,0.0000
"20260130",C000000000000139,88705.5600,2033.5600,0.0000,0.0000
"20260130",C000000000000140,213564.3900,20240.3900,0.0000,0.0000
"20260130",C000000000000141,2357.8200,231.7500,0.0000,0.0000
"20260130",C000000000000142,52.9400,0.0000,0.0000,0.0000
"20260130",C000000000000143,89050.2440,2368.3500,0.0000,0.0000
"20260130",C000000000000144,19050.9300,470.9300,0.0000,0.0000
"20260130",C000000000000145,592266.7820,41539.5500,0.0000,0.0000
"20260130",C000000000000146,1395985.2300,566.7800,0.0000,0.0000
"20260130",C000000000000147,4096.9300,96.9300,0.0000,0.0000
"20260130",C000000000000149,2301.4900,16.2100,0.0000,0.0000
"20260130",C000000000000150,4765136.0000,5.0000,0.0000,0.0000
"20260130",C000000000000151,9304.6050,3421.8866,0.0000,0.0000
"20260130",C000000000000152,1178264.9996,201.0300,199474.0900,21484.0900
"20260130",C000000000000153,1067087.6300,12014.6300,0.0000,0.0000
"20260130",C000000000000154,4413760.0300,6693.6300,0.0000,0.0000
"20260130",C000000000000155,373793.2900,1.3000,0.0000,0.0000
"20260130",C000000000000156,217092.8700,57112.8700,0.0000,0.0000
"20260130",C000000000000157,217741.6200,66409.6200,0.0000,0.0000
"20260130",C000000000000158,71190.4400,88.6500,0.0000,0.0000
"20260130",C000000000000159,154188.7400,1.0500,0.0000,0.0000
"20260130",C000000000000160,1453.6130,160.3200,241692.1000,698.1000
"20260130",C000000000000161,227749.8500,101084.6500,0.0000,0.0000
"20260130",C000000000000162,890302.6900,101.0500,0.0000,0.0000
"20260130",C000000000000163,113188.5300,0.0000,0.0000,0.0000
"20260130",C000000000000164,243519.1070,1.0500,0.0000,0.0000
"20260130",C000000000000165,474033.9900,101659.0700,0.0000,0.0000
"20260130",C000000000000166,0.1000,0.1000,0.0000,0.0000
"20260130",C000000000000167,1398006.4900,3596.4100,0.0000,0.0000
"20260130",C000000000000168,25089.5500,1.0500,0.0000,0.0000
"20260130",C000000000000169,10861923.5060,201.5200,0.0000,0.0000
"20260130",C000000000000170,420421.7400,200000.0000,0.0000,0.0000
"20260130",C000000000000171,95183.0800,167.9800,0.0000,0.0000
"20260130",C000000000000172,1575285.0800,285.0800,0.0000,0.0000
"20260130",C000000000000173,203.6700,203.5400,376393.9000,39424.1600
"20260130",C000000000000174,206963.1000,126293.1000,0.0000,0.0000
"20260130",C000000000000175,10425531.0388,132.0188,0.0000,0.0000
"20260130",C000000000000176,339407.2560,1.1400,0.0000,0.0000
"20260130",C000000000000177,1472481.8600,1.1400,0.0000,0.0000
"20260130",C000000000000178,62137.6300,27280.6300,0.0000,0.0000
"20260130",C000000000000179,433641.6300,240331.6300,1642973.8300,970019.8300
"20260130",C000000000000180,71184.7100,71184.7100,0.0000,0.0000
"20260130",C000000000000181,575783.4100,25578.5700,30.6200,30.6200
"20260130",C000000000000182,1085042.9400,871.8200,0.0000,0.0000
"20260130",C000000000000183,19411.6500,7289.5500,0.0000,0.0000
"20260130",C000000000000184,67.1900,0.0000,0.0000,0.0000
"20260130",C000000000000186,44200.3400,643.3400,0.0000,0.0000
"20260130",C000000000000187,18903.0200,162.0600,0.0000,0.0000
"20260130",C000000000000188,62262.2300,1451.6800,0.0000,0.0000
"20260130",C000000000000189,1174485.1000,143169.7000,0.0000,0.0000
"20260130",C000000000000190,266183.4400,1.0500,0.0000,0.0000
"20260130",C000000000000191,490.1000,1.1000,0.0000,0.0000
"20260130",C000000000000192,868019.5300,7923.5300,0.0000,0.0000
"20260130",C000000000000193,109873.8400,33699.1600,0.0000,0.0000
"20260130",C000000000000194,5083369.9300,999.9300,0.0000,0.0000
"20260130",C000000000000196,96452.1400,480.2600,0.0000,0.0000
"20260130",C000000000000197,133405.5500,1.0500,0.0000,0.0000
"20260130",C000000000000198,585676.3900,101.4200,0.0000,0.0000
